Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
97,Pete Olson (R-Texas),"$2,605,038","$5,665,019","$8,725,000",House
98,Peter Welch (D-Vt),"$3,013,128","$5,567,564","$8,122,000",House
99,Al Green (D-Texas),"$2,467,014","$5,373,507","$8,280,000",House
100,James Comer (R-Ky),"$1,920,024","$5,285,011","$8,649,998",House
101,Tom Cole (R-Okla),"$3,186,060","$5,251,030","$7,316,000",House
102,Doug Jones (D-Ala),"$2,226,130","$5,209,563","$8,192,997",Senate
103,Robert E Latta (R-Ohio),"$3,147,063","$5,188,531","$7,230,000",House
104,John Garamendi (D-Calif),"$2,356,016","$5,168,508","$7,981,000",House
105,James M Inhofe (R-Okla),"$2,368,012","$5,157,006","$7,946,000",Senate
106,Stephanie Murphy (D-Fla),"$2,888,035","$4,985,016","$7,081,998",House
107,Mary Gay Scanlon (D-Pa),"$2,770,069","$4,924,533","$7,078,998",House
108,Jim Costa (D-Calif),"$1,894,028","$4,902,513","$7,910,999",House
109,George Holding (R-NC),"$1,938,024","$4,876,510","$7,814,997",House
110,Catherine Cortez Masto (D-Nev),"$2,350,042","$4,601,020","$6,851,998",Senate
111,Mike Rounds (R-SD),"-$1,442,935","$4,532,031","$10,506,998",Senate
112,Andy Biggs (R-Ariz),"$1,953,009","$4,512,004","$7,070,999",House
113,Blake Farenthold (R-Texas),"$3,410,600","$4,405,582","$5,400,564",House
114,Gary Peters (D-Mich),"$1,750,211","$4,368,105","$6,985,999",Senate
115,Justin Amash (R-Mich),"$1,202,037","$4,366,518","$7,530,999",House
116,Mazie K Hirono (D-Hawaii),"$2,661,039","$4,339,019","$6,017,000",Senate
117,Daniel Lipinski (D-Ill),"$2,557,054","$4,256,027","$5,955,000",House
118,Collin Peterson (D-Minn),"$1,816,008","$4,241,504","$6,667,000",House
119,Cindy Hyde-Smith (R-Miss),"$1,921,089","$4,175,541","$6,429,994",Senate
120,Jamie Raskin (D-Md),"$2,314,073","$4,162,036","$6,010,000",House
121,Susan Collins (R-Maine),"$2,255,087","$4,124,043","$5,993,000",Senate
